tribunal,codigo_orgao,municipio,uf,nome_orgao,grau,cp_apr_2024,cp_apr_2025,%cp,sus_apr_2024,sus_apr_2025,%sus,cn_12_meses,tbaix_12_meses,desp_12_meses,decinc_12_meses,sentcm_12_meses,sentsm_12_meses,procsm100_apr_2025,conc100_apr_2025,tpsent_12_meses,tpcpl_apr_2025,tc_apr_2025,iad_12_meses
TJSP,10864,SAO PAULO,SP,JUIZADO ESPECIAL CÍVEL - CIC ZONA OESTE-FORO REGIONAL IV - LAPA,JE,367.0,366.0,-0.3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,358.0,7.0,,262.0,100.0,
TJSP,59839,SAO PAULO,SP,02 TURMA CRIMINAL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL,TR,413.0,402.0,-2.7,7.0,0.0,-100.0,0.0,10.0,13.0,6.0,0.0,0.0,395.0,0.0,76.0,192.0,98.0,
TJSP,59766,SAO PAULO,SP,01 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL,TR,1.294,1.259,-2.7,191.0,2.0,-99.0,0.0,38.0,30.0,138.0,0.0,0.0,1.069,1.0,,192.0,97.0,
TJSP,59792,SAO PAULO,SP,01 TURMA CRIMINAL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL,TR,1.143,1.133,-0.9,11.0,0.0,-100.0,2.0,24.0,11.0,22.0,0.0,0.0,1.119,0.0,0.0,192.0,98.0,1.2
TJSP,59814,SAO PAULO,SP,02 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL,TR,591.0,563.0,-4.7,176.0,1.0,-99.4,0.0,31.0,50.0,138.0,0.0,0.0,324.0,1.0,,192.0,91.0,
TJSP,59867,SAO PAULO,SP,04 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL,TR,756.0,727.0,-3.8,183.0,2.0,-98.9,0.0,30.0,52.0,134.0,0.0,0.0,545.0,0.0,,191.0,95.0,
TJSP,59852,SAO PAULO,SP,03 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL,TR,722.0,694.0,-3.9,171.0,4.0,-97.7,0.0,28.0,36.0,114.0,0.0,0.0,539.0,0.0,10.0,191.0,95.0,
TJSP,10756,TUPI PAULISTA,SP,01 CUMULATIVA DE TUPI PAULISTA,"G1, JE",4.796,3.767,-21.5,1.133,1.106,-2.4,1.697,2.627,4.461,6.103,1.019,1.42,836.0,10.0,331.0,183.0,49.0,155.0
TJSP,70925,SAO PAULO,SP,15ª CÂMARA DE DIREITO PÚBLICO,G2,20.582,22.677,10.2,1.311,1.521,16.0,15.659,13.585,12.085,7.318,2.324,1.472,13.911,1.301,2.0,175.0,61.0,87.0
TJSP,10932,SAO PAULO,SP,CARTÓRIO ANEXO DO JUIZADO ESPECIAL CÍVEL SÃO JUDAS-FORO CÍVEL CENTRAL,"G1, JE",330.0,324.0,-1.8,8.0,7.0,-12.5,6.0,1.0,0.0,1.0,0.0,0.0,303.0,4.0,,166.0,100.0,17.0
