Tribunal;Codigo orgao;Municipio;UF;Nome orgao;Grau;CP_Apr_2024;CP_Apr_2025;%CP;Sus_Apr_2024;Sus_Apr_2025;%Sus;CN_12_meses;Tbaix_12_meses;Desp_12_meses;DecInc_12_meses;SentCM_12_meses;SentSM_12_meses;ProcSM100_Apr_2025;Conc100_Apr_2025;TPSent_12_meses;TPCPL_Apr_2025;TC_Apr_2025;IAD_12_meses
TJSP;10864;SAO PAULO;SP;JUIZADO ESPECIAL CÍVEL - CIC ZONA OESTE-FORO REGIONAL IV - LAPA;JE;367;366;-0,3%;0;0;;0;0;0;0;0;0;358;7;;21 anos e 10 meses;100%;
TJSP;59839;SAO PAULO;SP;02 TURMA CRIMINAL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;413;402;-2,7%;7;0;-100%;0;10;13;6;0;0;395;0;6 anos e 4 meses;16 anos e 1 Mes;98%;
TJSP;59766;SAO PAULO;SP;01 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;1.294;1.259;-2,7%;191;2;-99%;0;38;30;138;0;0;1.069;1;;16 anos;97%;
TJSP;59792;SAO PAULO;SP;01 TURMA CRIMINAL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;1.143;1.133;-0,9%;11;0;-100%;2;24;11;22;0;0;1.119;0;0 anos;16 anos;98%;1.200%
TJSP;59814;SAO PAULO;SP;02 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;591;563;-4,7%;176;1;-99,4%;0;31;50;138;0;0;324;1;;16 anos;91%;
TJSP;59867;SAO PAULO;SP;04 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;756;727;-3,8%;183;2;-98,9%;0;30;52;134;0;0;545;0;;15 anos e 11 meses;95%;
TJSP;59852;SAO PAULO;SP;03 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;722;694;-3,9%;171;4;-97,7%;0;28;36;114;0;0;539;0;10 meses;15 anos e 11 meses;95%;
TJSP;10756;TUPI PAULISTA;SP;01 CUMULATIVA DE TUPI PAULISTA;G1, JE;4.796;3.767;-21,5%;1.133;1.106;-2,4%;1.697;2.627;4.461;6.103;1.019;1.420;836;10;27 anos e 7 meses;15 anos e 3 meses;49%;155%
TJSP;70925;SAO PAULO;SP;15ª CÂMARA DE DIREITO PÚBLICO;G2;20.582;22.677;10,2%;1.311;1.521;16%;15.659;13.585;12.085;7.318;2.324;1.472;13.911;1.301;2 meses;14 anos e 7 meses;61%;87%
TJSP;10932;SAO PAULO;SP;CARTÓRIO ANEXO DO JUIZADO ESPECIAL CÍVEL SÃO JUDAS-FORO CÍVEL CENTRAL;G1, JE;330;324;-1,8%;8;7;-12,5%;6;1;0;1;0;0;303;4;;13 anos e 10 meses;100%;17%
